codigo_municipio,nome_municipio,ano_referencia,populacao,rad_pop,pib,estado,lat,lon
3523602,Itirapina (SP),2022,16148,938.874079218019,1735171,SP,-22.29455297354593,-47.83404268822029
3543907,Rio Claro (SP),2022,201418,1491.6073076082878,13877680,SP,-22.373886329077475,-47.57988740157356
3547007,Santa Maria da Serra (SP),2022,5243,733.5321476407545,164149,SP,-22.56456331997237,-48.15426938008062
3550407,São Pedro (SP),2022,38256,1113.4587927849018,1023482,SP,-22.55816078463935,-47.92466854906726
3554706,Torrinha (SP),2022,9335,835.674986320849,320480,SP,-22.44457094231597,-48.164440475723374
3501608,Americana (SP),2022,237240,1531.8586059732572,16677591,SP,-22.723247300078185,-47.28909976661602
3503307,Araras (SP),2022,130866,1388.138551530492,8447071,SP,-22.346153806326942,-47.32385152933751
3503802,Artur Nogueira (SP),2022,51456,1176.8956935334227,2306807,SP,-22.561186694876955,-47.13215069664884
3509502,Campinas (SP),2022,1139047,1944.82618381528,80646591,SP,-22.88372509048811,-47.04373563614251
3512209,Conchal (SP),2022,28101,1049.3053052639225,978772,SP,-22.369298342669524,-47.14112047704778
3512407,Cordeirópolis (SP),2022,24514,1021.5144216566915,4216369,SP,-22.47954693199638,-47.41467212512177
3512803,Cosmópolis (SP),2022,59773,1209.6280818353928,2059490,SP,-22.651639033896107,-47.186353348877624
3514908,Elias Fausto (SP),2022,17699,956.7311408733672,1510916,SP,-23.070634928938137,-47.37065192028048
3520509,Indaiatuba (SP),2022,255748,1550.5100559896923,26940478,SP,-23.106087342155835,-47.20251140528459
3524709,Jaguariúna (SP),2022,59347,1208.0552892682892,13930315,SP,-22.691979027213662,-47.01276910028832
3526902,Limeira (SP),2022,291869,1583.585749037382,19078470,SP,-22.59849703861692,-47.363674661460706
3531803,Monte Mor (SP),2022,64662,1226.9835566839213,4751056,SP,-22.953195494777734,-47.30732096293161
3533403,Nova Odessa (SP),2022,62019,1217.7555227450687,4620501,SP,-22.784105304627644,-47.28516833253507
3536505,Paulínia (SP),2022,110537,1348.6422134048125,70496584,SP,-22.748355573217967,-47.14505858078983
3548005,Santo Antônio de Posse (SP),2022,23244,1010.7894095280506,1947452,SP,-22.60329679322815,-46.94989784991446
3552403,Sumaré (SP),2022,279545,1572.7463833875584,17753219,SP,-22.841848330651814,-47.26296144514318
3556206,Valinhos (SP),2022,126373,1379.9184760290675,9259974,SP,-22.975114936200296,-46.98128220002695
3556701,Vinhedo (SP),2022,76540,1264.628167129401,14061248,SP,-23.046470290344683,-46.97922145795142
3500501,Águas de Lindóia (SP),2022,17930,959.2695239170566,709590,SP,-22.47482397343919,-46.60364791893447
3501905,Amparo (SP),2022,68008,1238.1859955798461,6156333,SP,-22.699099207128324,-46.79872945373345
3522604,Itapira (SP),2022,72022,1250.9811598151132,5497230,SP,-22.431937133102082,-46.77207956232691
